prod_id,prod_name,prod_desc,cat_id,cat_name,subcat_id,subcat_name,unit_cost,unit_price,supp_id,prod_status,launch_date,disc_date,inv_min_lvl,prod_weight,prod_dim,gm_pct
PROD00001,Deluxe Headphones W880,"Deluxe Headphones W880: 4K resolution, Touch screen, Voice control",CAT006,Enterprise Solutions,SCAT022,Storage Solutions,458.66,687.67,SUPP0002,Limited Stock,2024-02-02,,44,17.06,56 x 51 x 23 cm,33.3
PROD00002,Deluxe Keyboard D484,"Deluxe Keyboard D484: Wireless connectivity, Compact design, Extended battery life",CAT004,Networking,SCAT015,Switches,774.58,1191.99,SUPP0033,Upcoming,2023-01-08,,29,1.36,8 x 22 x 38 cm,35.02
PROD00003,Ultra Monitor Q738,"Ultra Monitor Q738: Energy efficient, Noise cancelling",CAT005,Software,SCAT021,Design Software,789.02,1309.43,SUPP0022,Upcoming,2024-12-19,,47,14.05,100 x 41 x 7 cm,39.74
PROD00004,All-in-one Smartphone L845,"All-in-one Smartphone L845: Compact design, Extended battery life, Voice control",CAT001,Computing Devices,SCAT003,Tablets,499.98,805.79,SUPP0024,Limited Stock,2022-03-26,,35,19.33,17 x 83 x 12 cm,37.95
PROD00005,Professional Adapter Z414,"Professional Adapter Z414: Biometric security, Shock proof",CAT005,Software,SCAT018,Operating Systems,155.1,208.19,SUPP0008,Discontinued,2022-02-04,2024-03-26,12,14.37,90 x 59 x 44 cm,-25.5
PROD00006,Digital Monitor W134,"Digital Monitor W134: Water resistant, Biometric security",CAT006,Enterprise Solutions,SCAT025,Virtualization,202.05,338.25,SUPP0026,Upcoming,2024-04-17,,25,8.02,25 x 91 x 95 cm,40.27
PROD00007,Deluxe Workstation H407,"Deluxe Workstation H407: AI-powered, Wireless connectivity, Cloud storage",CAT002,Peripherals,SCAT009,Input Devices,824.51,1200.21,SUPP0004,Limited Stock,2024-10-23,,8,2.01,79x66x65,31.3
PROD00008,Lightweight Keyboard S453,"Lightweight Keyboard S453: Shock proof, Compact design, Noise cancelling, Cloud storage",CAT004,Networking,SCAT015,Switches,256.71,344.85,SUPP0015,Active,2024-04-30,,17,7.6,15 x 43 x 41 cm,25.56
PROD00009,Ultra Cable E653,,CAT001,Computing Devices,SCAT001,Laptops,275.55,435.3,SUPP0018,Active,2024-09-13,,50,6.86,,36.7
PROD00010,Elite Power Bank U253,"Elite Power Bank U253: 4K resolution, Bluetooth enabled, AI-powered, Shock proof",CAT004,Networking,SCAT016,Network Adapters,913.11,1461.79,SUPP0036,Limited Stock,2024-05-26,,32,10.41,90 x 82 x 93 cm,37.53
PROD00011,Professional Software License X125,"Professional Software License X125: Compact design, 4K resolution",CAT006,Enterprise Solutions,SCAT023,Backup Systems,196.11,270.43,SUPP0047,Active,2023-06-09,,15,9.77,44 x 59 x 57 cm,27.48
PROD00012,Ultra Power Bank E217,"Ultra Power Bank E217: AI-powered, Touch screen, 4K resolution, Energy efficient",CAT004,Networking,SCAT017,Network Security,333.26,544.7,SUPP0014,Discontinued,2024-08-06,2024-12-20,28,6.1,38 x 68 x 82 cm,38.82
PROD00013,Deluxe Printer J233,"Deluxe Printer J233: Water resistant, Compact design, 4K resolution",CAT006,Enterprise Solutions,SCAT023,Backup Systems,268.33,402.47,SUPP0034,Discontinued,2023-06-06,2023-12-21,37,7.32,65 x 97 x 33 cm,33.33
PROD00014,Basic Mouse S809,"Basic Mouse S809: Energy efficient, Water resistant, Fast charging, Shock proof, Voice control",CAT004,Networking,SCAT017,Network Security,547.28,920.23,SUPP0001,Limited Stock,2024-09-13,,9,5.82,,40.53
PROD00015,Heavy-duty Storage Drive P250,"Heavy-duty Storage Drive P250: AI-powered, High performance, Energy efficient",CAT003,Accessories,SCAT012,Power Solutions,922.49,1231.92,SUPP0036,Upcoming,2023-01-15,,6,12.61,54 x 60 x 8 cm,25.12
